tracking_id,timestamp,state,city,area,category,severity_reported,description,image_ref,status,admin_remarks,ai_category,ai_severity,ai_priority_score,ai_confidence,ai_reasoning,cluster_flag
6BPWI30G,2026-02-09 23:57:13,Gujarat,Gandhidham,rerw,Internet,Low,show speed data,None,Open,,Internet,Critical,10,0.9,Classified 'Internet'. Severity 'Low'. [⚠ AI BURST: 3 reports in Gandhidham] [⚠ AI BURST: 3 reports in Gandhidham] [⚠ AI BURST: 3 reports in Gandhidham],True
XANZZQXD,2025-12-03 13:56:04,Odisha,Bhubaneswar,Railway Station,Sanitation,Critical,Overflowing dustbins,None,In Progress,,Sanitation,Critical,10,0.94,Classified as 'Sanitation'. Severity 'Critical' based on keywords.,False
VANPOKBF,2025-12-31 05:54:57,Haryana,Faridabad,Railway Station,Safety,Medium,Dark alley unsafe at night,None,Resolved,,Safety,Medium,5,0.84,Classified as 'Safety'. Severity 'Medium' based on keywords.,False
XMR5UKME,2026-01-31 18:22:03,Kerala,Thrissur,Railway Station,Electricity,Low,Frequent power cuts,None,Rejected,,Electricity,Low,2,0.75,Classified as 'Electricity'. Severity 'Low' based on keywords.,False
1YW7OXLK,2025-12-02 00:11:04,Odisha,Cuttack,Civil Lines,Sanitation,Low,Garbage not collected,None,In Progress,,Sanitation,Low,2,0.97,Classified as 'Sanitation'. Severity 'Low' based on keywords.,False
0ESMKL1O,2025-11-28 23:39:07,Uttar Pradesh,Kanpur,Civil Lines,Internet,Medium,Router issue in park,None,Open,,Internet,Medium,5,0.92,Classified as 'Internet'. Severity 'Medium' based on keywords.,False
NU01I3MX,2026-02-08 19:31:46,Himachal Pradesh,Manali,Sector 2,Safety,Low,Chain snatching incident,None,Rejected,,Safety,Low,2,0.78,Classified as 'Safety'. Severity 'Low' based on keywords.,False
VW29M9KK,2026-01-09 11:47:31,Telangana,Warangal,Sector 11,Water,High,Pipeline burst flooding street,None,In Progress,,Water,High,8,0.84,Classified as 'Water'. Severity 'High' based on keywords.,False
6IH7B1E5,2026-02-04 20:28:08,Tripura,Agartala,Main Market,Traffic,Medium,Traffic signal broken,None,Open,,Traffic,Medium,5,0.95,Classified as 'Traffic'. Severity 'Medium' based on keywords.,False
2CXZEO67,2025-12-08 13:12:26,Andhra Pradesh,Guntur,Railway Station,Traffic,Critical,Accident prone junction,None,Rejected,,Traffic,Critical,10,0.8,Classified as 'Traffic'. Severity 'Critical' based on keywords.,False
JBPFQYK8,2025-11-12 07:59:56,Meghalaya,Shillong,Civil Lines,Traffic,High,Need speed breaker,None,Resolved,,Traffic,High,8,0.95,Classified as 'Traffic'. Severity 'High' based on keywords.,False
48ASBEZB,2026-01-02 15:05:12,Arunachal Pradesh,Itanagar,Civil Lines,Traffic,Low,Accident prone junction,None,In Progress,,Traffic,Low,2,0.93,Classified as 'Traffic'. Severity 'Low' based on keywords.,False
09TLHVSX,2025-12-16 18:18:52,Delhi,West Delhi,Station Road,Water,Medium,Pipeline burst flooding street,None,Rejected,,Water,Medium,5,0.88,Classified as 'Water'. Severity 'Medium' based on keywords.,False
FY2HHLQH,2026-01-06 21:52:22,Maharashtra,Nashik,Colony Area,Sanitation,High,Garbage not collected,None,Open,,Sanitation,High,8,0.94,Classified as 'Sanitation'. Severity 'High' based on keywords.,False
EMLQTO9J,2025-12-22 18:36:30,West Bengal,Howrah,Railway Station,Water,High,No water for 2 days,None,Rejected,,Water,High,8,0.82,Classified as 'Water'. Severity 'High' based on keywords.,False
E7G98YUH,2025-12-15 21:52:15,Rajasthan,Kota,Main Market,Safety,High,Stray dogs attacking,None,Rejected,,Safety,High,8,0.77,Classified as 'Safety'. Severity 'High' based on keywords.,False
VF1MN5KB,2025-12-18 10:19:14,Jharkhand,Jamshedpur,Colony Area,Road,Critical,Huge pothole on main street,None,Rejected,,Road,Critical,10,0.85,Classified as 'Road'. Severity 'Critical' based on keywords.,False
CRP4PO08,2026-01-23 15:41:45,Puducherry,Karaikal,Railway Station,Sanitation,High,Dead animal on road,None,Resolved,,Sanitation,High,8,0.8,Classified as 'Sanitation'. Severity 'High' based on keywords.,False
8RR2PXN1,2025-11-21 22:07:37,Manipur,Imphal,Railway Station,Road,Low,Road caved in due to rain,None,In Progress,,Road,Low,2,0.97,Classified as 'Road'. Severity 'Low' based on keywords.,False
RZI9K6OU,2025-12-28 16:09:53,West Bengal,Howrah,Station Road,Electricity,High,Frequent power cuts,None,Open,,Electricity,High,8,0.96,Classified as 'Electricity'. Severity 'High' based on keywords.,False
J3AKBKWH,2026-02-04 00:11:29,Goa,Panaji,Civil Lines,Road,Low,Road surface uneven,None,Open,,Road,Low,2,0.82,Classified as 'Road'. Severity 'Low' based on keywords.,False
GKU811VN,2025-11-13 22:24:21,Andhra Pradesh,Tirupati,Bus Stand,Sanitation,High,Garbage not collected,None,Open,,Sanitation,High,8,0.81,Classified as 'Sanitation'. Severity 'High' based on keywords.,False
A4IJLT2D,2026-01-18 22:44:03,Gujarat,Surat,Bus Stand,Other,Medium,Graffiti on walls,None,Open,,Other,Medium,5,0.86,Classified as 'Other'. Severity 'Medium' based on keywords.,False
FM1SC2DZ,2026-01-05 12:13:39,Tamil Nadu,Madurai,Colony Area,Road,High,Huge pothole on main street,None,Resolved,,Road,High,8,0.88,Classified as 'Road'. Severity 'High' based on keywords.,False
PTUYPIZB,2025-11-14 08:58:06,Assam,Jorhat,Main Market,Sanitation,Critical,Dead animal on road,None,In Progress,,Sanitation,Critical,10,0.8,Classified as 'Sanitation'. Severity 'Critical' based on keywords.,False
G874X5KX,2025-12-26 00:01:46,Madhya Pradesh,Ujjain,Sector 15,Road,Medium,Road surface uneven,None,Open,,Road,Medium,5,0.93,Classified as 'Road'. Severity 'Medium' based on keywords.,False
4BQ8H1XO,2025-12-15 20:01:15,West Bengal,Howrah,Railway Station,Road,Medium,Road caved in due to rain,None,In Progress,,Road,Medium,5,0.84,Classified as 'Road'. Severity 'Medium' based on keywords.,False
BUSN1BV6,2025-12-01 02:57:33,Himachal Pradesh,Shimla,Railway Station,Electricity,Medium,Voltage fluctuation,None,Open,,Electricity,Medium,5,0.94,Classified as 'Electricity'. Severity 'Medium' based on keywords.,False
7EI68OP0,2025-12-23 19:00:48,Rajasthan,Ajmer,Civil Lines,Sanitation,Critical,Overflowing dustbins,None,Resolved,,Sanitation,Critical,10,0.88,Classified as 'Sanitation'. Severity 'Critical' based on keywords.,False
RIBRACBG,2026-01-16 19:23:45,Odisha,Puri,Civil Lines,Road,Low,Manhole cover missing,None,In Progress,,Road,Low,2,0.79,Classified as 'Road'. Severity 'Low' based on keywords.,False
XQXBTHU9,2025-12-23 02:35:21,Goa,Margao,Station Road,Internet,Medium,Connectivity lost,None,Open,,Internet,Medium,5,0.91,Classified as 'Internet'. Severity 'Medium' based on keywords.,False
K747VLNU,2025-12-07 18:20:45,Himachal Pradesh,Shimla,Main Market,Water,High,Dirty water supply,None,Open,,Water,High,8,0.75,Classified as 'Water'. Severity 'High' based on keywords.,False
INYYNDMS,2026-01-16 12:06:43,Manipur,Imphal,Civil Lines,Road,Medium,Manhole cover missing,None,In Progress,,Road,Medium,5,0.95,Classified as 'Road'. Severity 'Medium' based on keywords.,False
R0793H8H,2025-11-28 08:26:33,West Bengal,Kolkata,Railway Station,Sanitation,Critical,Garbage not collected,None,Open,,Sanitation,Critical,10,0.93,Classified as 'Sanitation'. Severity 'Critical' based on keywords. [⚠ AI BURST: 3 reports in Kolkata] [⚠ AI BURST: 3 reports in Kolkata],True
92V4S2SW,2025-11-19 03:15:58,Arunachal Pradesh,Itanagar,Main Market,Internet,Low,Slow internet speed,None,Rejected,,Internet,Low,2,0.98,Classified as 'Internet'. Severity 'Low' based on keywords.,False
D4019V6H,2026-01-05 03:58:49,Jharkhand,Dhanbad,Civil Lines,Water,Low,Leakage in main pipe,None,Rejected,,Water,Low,2,0.8,Classified as 'Water'. Severity 'Low' based on keywords.,False
Y4HU53KX,2026-01-05 19:11:11,Gujarat,Gandhinagar,Station Road,Electricity,Critical,Live wire hanging low,None,Rejected,,Electricity,Critical,10,0.75,Classified as 'Electricity'. Severity 'Critical' based on keywords.,False
